instance,profile,policy,stream,K,decision,margin_sign,gamma_slope,gamma_delivery_route,gamma_best_found,gamma_lower_bound_l2,gamma_slope_over_delivery,gamma_slope_over_best,gamma_best_over_lower_bound,delta,R,chi,kappa,R_over_delta,zeta,B_align,B_kappa,nu,decision_slack_norm,D_align,best_search_starts,best_search_spread
CON3-0,moderate,SAA,search_sampled,2,certified_feasible,1.0,23062.428465771318,3766.8922678748254,3576.95374354029,2660.213716088963,6.122401923318739,6.447505368896741,1.344611420468546,23062.428465771318,24454.597497896713,2.0603652401216817,-0.9943851606131507,1.0603652401216819,1.0,16.521814717310964,18.87323419226259,75.42915826550981,74.42915826550839,0.8821165893514599,9.0,99.97589614882872
CON3-0,moderate,SAA,search_sampled,2,certified_feasible,1.0,24086.017965916573,15142.703967839749,11994.36669469529,10462.359952883655,1.5906021815569227,2.008110855620999,1.1464303224808645,24086.01796591657,30106.45167634959,2.2499555434589626,-0.9508070860054096,1.2499555434589629,1.0,5.224609813799757,6.376226313571351,73.29988020510194,72.2998802051006,0.7873939419415632,9.0,1355.7923794607523
CON3-0,moderate,SAA,search_sampled,2,certified_feasible,1.0,23755.513058697456,24835.479609818427,17511.08980457003,16496.319434826146,0.9565151723225019,1.3565982085534025,1.0615149563363544,23755.51305869746,36293.583421875126,2.5277962354337444,-0.8940538246422436,1.5277962354337442,1.0,3.2571416044268955,4.344825674716837,74.9252736089258,73.92527360892444,0.8649872186282005,9.0,335.43170146036937
CON3-0,moderate,SAA,search_sampled,2,certified_feasible,1.0,15691.116343157704,16485.143366359738,11813.695078308136,10994.84713094067,0.9518337811473112,1.3282140972107148,1.0744756100394648,15691.116343157693,24114.614717484073,2.5368323190082984,-0.8701908685037557,1.5368323190083,1.0,3.06025012809513,3.9252052922247564,113.29081054908264,112.29081054908058,0.8987388393655026,9.0,579.7305543255625
CON3-0,moderate,SAA,search_sampled,2,certified_feasible,1.0,14988.468668077618,19100.328393794865,9171.210418541907,8808.697478345282,0.784723087428535,1.634295581941361,1.0411539777688814,7598.68131532163,19669.469322879955,1.8192752870262983,-0.7358851930319873,2.588537208846928,1.0,1.8192752870262978,2.7518111310871496,124.92634341194999,123.92634341194793,0.8625855666853848,9.0,441.4635688308972
CON3-0,moderate,SAA,search_sampled,2,certified_feasible,1.0,330.0840979663889,437.2514288345254,242.58975253442597,242.24937519547817,0.7549068480947304,1.3606679363735557,1.001405070038563,238.9793662037115,486.0568960636453,2.196519816417161,-0.7937792328238219,2.0338864554913885,1.0,2.1965198164171604,3.11421648105277,6082.2806914432795,6081.280691443192,0.866104022343585,9.0,219.38874239490494
CON3-0,moderate,SAA,search_sampled,4,certified_feasible,1.0,44065.154102208624,66539.46210913952,35515.28735436364,26696.03347448523,0.66224091246683,1.2407376480594488,1.3303582117660822,38871.74293277546,71749.87569994807,2.5104103431963027,-0.8456878798429,1.8458106142560122,0.9740995492267672,2.510410343196301,3.6001034349452428,35.76661192541618,34.766611925415376,0.6786264755924543,9.0,14035.951464983365
CON3-0,moderate,SAA,search_sampled,11,certified_feasible,1.0,106444.9621887497,136783.1603624735,78257.83168286938,58576.64194235477,0.7782022429272142,1.3601828711547408,1.3359904065494717,106444.96218874979,156974.61960833336,2.4747021970845724,-0.7911524062964225,1.4747021970845706,0.7133638799218723,2.6980053429786293,3.094569636192999,4.974893143392329,3.974893143391848,0.8541266037419432,9.0,1231.4619769191922
CON3-0,moderate,SAA,search_sampled,12,certified_feasible,1.0,108685.39103065226,140241.01377564608,80199.63347791639,62141.745163412525,0.7749900553665728,1.3551856326198755,1.2905919083382276,108685.39103065229,160861.1733657092,2.4800625165928873,-0.7936984135613755,1.480062516592887,0.7168629454366188,2.7041381177078176,3.1136064194962403,4.610278884593538,3.610278884593064,0.8541200374434017,9.0,115897.74829696407
CON3-0,moderate,SAA,search_sampled,9,certified_feasible,1.0,98425.94574485075,169909.33360710778,85171.00839779784,60345.185184477,0.5792851025620956,1.1556273384147888,1.4113969182036241,97444.81222841347,170018.5044008259,2.717406620837392,-0.8665837628839596,1.7447671201038142,0.721044420482853,2.717406620837391,3.871779838777903,5.331492332488002,4.331492332487483,0.8286165861642301,9.0,85067.31722873008
