instance,profile,policy,label,population,n_routes,A_l1,A_l2,A_l2_over_l1,A_l1_over_tr,Delta_A,E_spec_norm,eta,angle_vM_vA_deg,angle_uslope_vM_deg,angle_uslope_vA_deg,eigengap_degenerate
CON3-0,moderate,-,train_random_unique,train_random_unique,200,493853917584109.2,1144848185826.8572,0.002318191969453955,0.991258883627631,492709069398282.3,218208535588086.53,0.44287501314837224,20.497071669369056,0.0,20.497071669369056,0
CON3-0,moderate,SAA,search_call_weighted,search_call_weighted,2867,2756464363418675.0,119146131673775.4,0.04322425976369443,0.9339167345084376,2637318231744899.5,1227177085619013.0,0.465312479490611,21.447340791495,6.448951068795312,21.059759367726873,0
CON3-0,moderate,SAA,search_unique_ordered_route,search_unique_ordered_route,2660,2544202080708957.5,111498255915586.9,0.04382444962253833,0.9340108961064258,2432703824793370.5,1133712888441691.2,0.466029969159105,21.440051646630877,6.476613825003585,21.082877940998866,0
CON3-0,moderate,SAA,search_unique_customer_set_A_only,search_unique_customer_set_A_only,383,332830045893281.2,12653245788761.805,0.03801713801048764,0.9375608304018723,320176800104519.4,nan,nan,0.0,20.754736059706456,20.754736059706456,0
CON8-0,moderate,-,train_random_unique,train_random_unique,200,39330021090494.87,340516237470.5281,0.00865792155786112,0.9688613821955819,38989504853024.336,15959242336979.52,0.4093214929797087,20.776135527693455,0.0,20.776135527693455,0
CON8-0,moderate,SAA,search_call_weighted,search_call_weighted,5812,474361700360404.75,18908885789860.36,0.03986174637516898,0.8857492590693643,455452814570544.4,202381246116824.06,0.44435173006374634,20.94561761833782,1.5768866509611459,20.92639232149987,0
CON8-0,moderate,SAA,search_unique_ordered_route,search_unique_ordered_route,3393,319217916858550.75,12012853488010.654,0.037632140470779694,0.8892132481772184,307205063370540.1,136260991641807.5,0.4435506047550206,21.077970065854636,1.5753044205591846,21.1494320650266,0
CON8-0,moderate,SAA,search_unique_customer_set_A_only,search_unique_customer_set_A_only,1011,90864587878144.3,3603804760947.0986,0.03966126788337004,0.8915776414496712,87260783117197.2,nan,nan,0.0,21.04531506743304,21.04531506743304,0
SCA3-0,moderate,-,train_random_unique,train_random_unique,200,463395454902138.9,1346789451805.0627,0.0029063501541884596,0.990817089351435,462048665450333.8,202880084670941.28,0.4390881304098239,23.402635990293515,0.0,23.402635990293497,0
SCA3-0,moderate,SAA,search_call_weighted,search_call_weighted,2759,2343937286154987.0,125277759940219.88,0.05344757331188092,0.914757539638653,2218659526214767.0,1032685800182766.4,0.46545483341674393,23.78169802073309,6.390884890340927,24.010620164312826,0
SCA3-0,moderate,SAA,search_unique_ordered_route,search_unique_ordered_route,2559,2168057898446624.5,116301917160836.95,0.05364336314273029,0.9154234469400597,2051755981285787.5,955546623200888.4,0.46572137813487435,23.750490738137184,6.42571391790699,23.92022295394341,0
SCA3-0,moderate,SAA,search_unique_customer_set_A_only,search_unique_customer_set_A_only,334,263656375553222.06,12236556614636.1,0.04641100215748817,0.9230103394967368,251419818938585.97,nan,nan,0.0,24.076432068458534,24.076432068458534,0
SCA8-0,moderate,-,train_random_unique,train_random_unique,200,33136206792208.17,435513932878.63226,0.01314314386102399,0.9623782916090157,32700692859329.54,14309788258076.824,0.43759893160778174,24.25959674853099,0.0,24.259596748531003,0
SCA8-0,moderate,SAA,search_call_weighted,search_call_weighted,3800,333787349738848.25,23635553071960.11,0.07081021222180026,0.8549139635506052,310151796666888.1,145049793352951.53,0.4676735550519449,24.310764876738563,4.024509216642938,23.697646814643836,0
SCA8-0,moderate,SAA,search_unique_ordered_route,search_unique_ordered_route,2826,258596481113127.0,17736510500185.64,0.06858759416925914,0.8584698422621289,240859970612941.38,111198600235150.97,0.4616732284412904,23.996719611378893,4.195148599199832,23.276447825432793,0
SCA8-0,moderate,SAA,search_unique_customer_set_A_only,search_unique_customer_set_A_only,666,57454339630334.516,3496945902853.5103,0.06086478280584408,0.8647648571130994,53957393727481.01,nan,nan,0.0,23.662284246427326,23.662284246427326,0
