instance,profile,policy,stream,route_len,rho_cand,cand_count,N,candidate_cvar_matches_full,tier2_decision,tier2_incremental_certified,full_feasible,t_tier2_total,t_tier2_exact_partial,t_full,tier2_over_full,cvar_L,cvar_U,cvar_candidate,cvar_full
CON3-0,moderate,SAA,search,17,0.917,9170,10000,1,certified_infeasible,1,0,0.005645800003549084,0.0024769000010564923,0.002441399992676452,2.312525608456204,8108910.86604686,8903096.573684063,8544652.272127818,8544652.272127816
CON3-0,moderate,SAA,search,11,0.9021,9021,10000,1,certified_infeasible,1,0,0.003876000002492219,0.0013882000057492405,0.001299499999731779,2.9826856508597444,8263379.652608721,8993776.235263841,8649983.229496181,8649983.229496181
CON3-0,moderate,SAA,search,17,0.917,9170,10000,1,certified_infeasible,1,0,0.005699200002709404,0.00262690000818111,0.0022378000139724463,2.5467870082780224,8108910.86604686,8903096.573684063,8544652.272127818,8544652.272127816
CON3-0,moderate,SAA,search,14,0.9425,9425,10000,1,ambiguous,0,1,0.005412600003182888,0.002313100005267188,0.002227500022854656,2.4298989663965807,7387607.914344526,8111768.061616806,7786732.768704757,7786732.768704758
CON3-0,moderate,SAA,search,15,0.8885,8885,10000,1,ambiguous,0,0,0.005507599998963997,0.002338999998755753,0.0021256000036373734,2.5910801606789944,7980919.880245989,8659098.36886391,8354307.210492187,8354307.210492187
CON3-0,moderate,SAA,search,10,0.8865,8865,10000,1,certified_feasible,1,1,0.0036038999969605356,0.0010402000043541193,0.0013109999999869615,2.748970249425155,7201863.869142702,7815362.338215227,7523849.565114224,7523849.565114224
CON3-0,moderate,SAA,search,14,0.9042,9042,10000,1,ambiguous,0,1,0.0044504000106826425,0.00181350001366809,0.0018510999798309058,2.4041921339598185,7452330.824055236,8111771.301926786,7818565.263687215,7818565.263687215
CON3-0,moderate,SAA,search,10,0.8539,8539,10000,1,ambiguous,0,1,0.0037798999983351678,0.0011776999745052308,0.0011668000079225749,3.2395440286849824,7612143.183239897,8222116.546181633,7931158.253103762,7931158.253103762
CON3-0,moderate,SAA,search,15,0.9148,9148,10000,1,ambiguous,0,0,0.005323899997165427,0.002470300009008497,0.0020027999999001622,2.658228478845026,7971408.890465459,8691104.15181982,8357449.101540815,8357449.101540815
CON3-0,moderate,SAA,search,15,0.9148,9148,10000,1,ambiguous,0,0,0.005344700010027736,0.002551899990066886,0.0019407999934628606,2.753864400262846,7971408.890465459,8691104.15181982,8357445.3482775455,8357445.3482775455
CON3-0,moderate,SAA,search,15,0.9148,9148,10000,1,ambiguous,0,0,0.005778200022177771,0.002737600007094443,0.0021445999736897647,2.694302011128178,7971408.890465459,8691104.15181982,8357445.3482775455,8357445.3482775455
CON3-0,moderate,SAA,search,15,0.9148,9148,10000,1,ambiguous,0,0,0.005276499985484406,0.0021539999870583415,0.002270099997986108,2.3243469407362625,7971408.890465459,8691104.15181982,8357445.3482775455,8357445.3482775455
CON3-0,moderate,SAA,search,16,0.8739,8739,10000,1,ambiguous,0,1,0.0052980000036768615,0.0022693999926559627,0.002097199991112575,2.5262254559071624,7542912.90166744,8213370.584206709,7917584.014156616,7917584.014156616
CON3-0,moderate,SAA,search,16,0.932,9320,10000,1,ambiguous,0,1,0.005443799978820607,0.002550300006987527,0.0023153999936766922,2.351127232308676,7468365.184337156,8213370.584206709,7887412.749463544,7887412.749463545
CON3-0,moderate,SAA,search,10,0.8941,8941,10000,1,certified_feasible,1,1,0.003628900012699887,0.0011947999882977456,0.0011689999955706298,3.104277182591856,7322091.3113467805,7952519.522492947,7653090.160758208,7653090.160758208
