instance,profile,policy,label,population,n_routes,A_l1,A_l2,A_l2_over_l1,A_l1_over_tr,Delta_A,E_spec_norm,eta,angle_vM_vA_deg,angle_uslope_vM_deg,angle_uslope_E1_deg,angle_uslope_vA_deg,M_l1,M_l2,M_ld,M_l2_over_l1,M_gap12,M_gap12_rel,M_leading_multiplicity,M_trace,M_residual_opt,M_residual_uslope,M_transfer_ratio,M_transfer_bound_ratio,M_transfer_excess,M_transfer_bound_excess,M_q_rayleigh,M_beta_q,M_transfer_identity_excess,M_bound_slack_over_actual_excess,M_bound_slack_fraction,M_gap12_degenerate,eigengap_degenerate,mu_n,mu_mean,mu_p50,mu_p90,mu_p95,mu_max,sqrt_mu_p50,sqrt_mu_p90,sqrt_mu_p95,sqrt_mu_max,theorem_factor_exact_observed,theorem_factor_spectral_bound,Ce_u,Ce_best_found_min,Ce_best_found_max,Ce_best_found_spread,Ce_rho_best_found,Ce_global_lower_bound,Ce_rho_certified_upper,Ce_random_p05,Ce_random_p50,Ce_random_p95,Ce_pca_top,Ce_pca_bottom,Ce_cov_l1,Ce_cov_l2,Ce_cov_ld,Ce_cov_l2_over_l1,Ce_search_seconds,certificate_factor_best_found,certificate_factor_spectral_best_found,certificate_factor_certified_upper
CON3-0,moderate,-,train_random_unique,train_random_unique,200,493853917584109.2,1144848185826.8572,0.002318191969453955,0.991258883627631,492709069398282.3,218208535588086.53,0.44287501314837224,20.497071669369056,0.0,0.0,20.497071669369056,359050448319400.2,24680937124229.676,165378275101.58514,0.06873946889567528,334369511195170.5,0.9312605311043247,1,389268377554165.6,30217929234765.438,30217929234765.438,1.0,1.0,0.0,0.0,nan,nan,0.0,nan,nan,0,0,200,2.2169589568757244,2.2401629862376464,2.8108825558008923,3.0191923078969536,3.408084789306125,1.4967173884581224,1.6765685431882438,1.7375822543572785,1.8460998860587488,1.8460998860587488,1.8460998860587488,4.018036542200779,4.007213076857858,4.046947264701445,1.009915666345036,1.002700995713312,1.5715738347064603,2.5566960033737587,4.0186049700238025,4.027576936538649,4.035275414903927,4.023028824181041,4.031124983590341,1.0025519891487702,0.9930267722101018,0.9216607572467161,0.990499029435116,1.004175199981546,1.851086193937339,1.851086193937339,4.719916200515154
CON3-0,moderate,SAA,search_call_weighted,search_call_weighted,2867,2756464363418675.0,119146131673775.4,0.04322425976369443,0.9339167345084376,2637318231744899.5,1227177085619013.0,0.465312479490611,21.447340791495,6.448951068795312,6.4489510687954,21.059759367726873,2036660749841324.0,153543059093201.6,1165235158553.2031,0.07538960973503521,1883117690748122.5,0.9246103902649648,1,2355785168635564.5,319124418794240.5,344346288727306.25,1.079034597315876,1.080465228837036,25221869933065.75,25678419385764.69,37355327283665.65,0.01777949981420255,25221869933066.473,0.018101332451183855,0.017779499814230704,0,0,2867,1.8553980798161012,1.7716726095974467,2.382017544614857,2.4628427816041807,3.0518169375836153,1.3310419263109057,1.5433786071669233,1.5693446971412706,1.7469450299261322,1.8146669282067456,1.8158695123370026,4.018036542200779,4.007213076857858,4.046947264701445,1.009915666345036,1.002700995713312,1.5715738347064603,2.5566960033737587,4.0186049700238025,4.027576936538649,4.035275414903927,4.023028824181041,4.031124983590341,1.0025519891487702,0.9930267722101018,0.9216607572467161,0.990499029435116,1.004175199981546,1.819568335800921,1.8207741681057588,4.639551682800722
CON3-0,moderate,SAA,search_unique_ordered_route,search_unique_ordered_route,2660,2544202080708957.5,111498255915586.9,0.04382444962253833,0.9340108961064258,2432703824793370.5,1133712888441691.2,0.466029969159105,21.440051646630877,6.476613825003585,6.476613825003552,21.082877940998866,1877743893809614.5,141029563058248.1,1093157148360.6917,0.07510585630084182,1736714330751366.5,0.9248941436991582,1,2171616772289861.0,293872878480246.5,317333255792998.0,1.0798317198717895,1.081250145110735,23460377312751.5,23877214020629.402,33854806569943.42,0.017457510223702535,23460377312750.73,0.017767689850893303,0.01745751022367033,0,0,2660,1.8421434303733721,1.760935524009486,2.3642992458545717,2.4576933812630237,3.0518169375836153,1.3270024560297364,1.5376277925344057,1.5677032184744226,1.7469450299261322,1.8153370850739465,1.816528972137159,4.018036542200779,4.007213076857858,4.046947264701445,1.009915666345036,1.002700995713312,1.5715738347064603,2.5566960033737587,4.0186049700238025,4.027576936538649,4.035275414903927,4.023028824181041,4.031124983590341,1.0025519891487702,0.9930267722101018,0.9216607572467161,0.990499029435116,1.004175199981546,1.8202403027589475,1.8214354091040084,4.641265070184728
CON3-0,moderate,SAA,search_unique_customer_set_A_only,search_unique_customer_set_A_only,383,332830045893281.2,12653245788761.805,0.03801713801048764,0.9375608304018723,320176800104519.4,nan,nan,0.0,20.754736059706456,nan,20.754736059706456,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.018036542200779,4.007213076857858,4.046947264701445,1.009915666345036,1.002700995713312,1.5715738347064603,2.5566960033737587,4.0186049700238025,4.027576936538649,4.035275414903927,4.023028824181041,4.031124983590341,1.0025519891487702,0.9930267722101018,0.9216607572467161,0.990499029435116,1.004175199981546,nan,nan,nan
CON3-1,moderate,-,train_random_unique,train_random_unique,200,615002475263542.2,1611838271101.2112,0.0026208646890575563,0.9912039009002725,613390636992441.0,277637626668767.38,0.4526277545253577,22.812470942072892,0.0,2.1767042412140705e-06,22.812470942072906,463537620562478.6,36094545685185.664,304200581939.45746,0.07786756475426271,427443074877292.94,0.9221324352457372,1,506539288090634.9,43001667528156.25,43001667528156.25,1.0,1.0000000000000155,0.0,0.6685801312297245,nan,nan,0.0,nan,nan,0,0,200,2.223144241515339,2.240367208317181,2.867785931629071,3.003883029650913,3.244856963885448,1.4967853350781049,1.6934537168662007,1.7331707361545086,1.8013486513957946,1.8013486513957946,1.8013486513958086,4.0172347633971,4.007213076857858,4.046947264701445,1.009915666345036,1.0025009118175219,1.5715738347064603,2.55618582765947,4.0186049700238025,4.027576936538649,4.035275414903927,4.023028824181041,4.031124983590341,1.0025519891487702,0.9930267722101018,0.9216607572467161,0.990499029435116,1.004175199981546,1.8058536655255475,1.8058536655255615,4.604581893371429
CON3-1,moderate,SAA,search_call_weighted,search_call_weighted,2844,3823789225002757.0,244689230318557.56,0.06399129657006164,0.9201848404799077,3579099994684199.5,1585316879045569.8,0.4429372974770574,20.256578942950412,4.627365407819154,4.627365407819302,19.319032707403704,2961229619708791.0,222977034322232.8,1062642220558.8263,0.07529879913336829,2738252585386558.0,0.9247012008666317,1,3454394303816864.5,493164684108073.5,512210482506593.5,1.0386195504509124,1.0390662851059242,19045798398520.0,19266112153539.1,34913037001417.008,0.01143529910247867,19045798398521.484,0.01156757781475948,0.011435299102555618,0,0,2844,1.8813340564124055,1.8344108096081322,2.142379495585799,2.3512825278223937,3.137247126251656,1.3544042266886405,1.4636869499217287,1.5333892286461128,1.7712275760758853,1.805105592457381,1.8054937598711176,4.0172347633971,4.007213076857858,4.046947264701445,1.009915666345036,1.0025009118175219,1.5715738347064603,2.55618582765947,4.0186049700238025,4.027576936538649,4.035275414903927,4.023028824181041,4.031124983590341,1.0025519891487702,0.9930267722101018,0.9216607572467161,0.990499029435116,1.004175199981546,1.8096200023654323,1.8100091405516412,4.614185332868408
CON3-1,moderate,SAA,search_unique_ordered_route,search_unique_ordered_route,2593,3550415617857013.0,226411457265891.94,0.06377040933662609,0.9211293899384384,3324004160591121.0,1464701983970231.8,0.4406438479637035,20.121494194652698,4.734703672827731,4.734703672828181,19.222981176932073,2752554636769061.5,206539788079741.94,960787587736.5165,0.07503567243343717,2546014848689319.5,0.9249643275665628,1,3206573765003527.5,454019128234466.0,472551117592017.5,1.040817640062031,1.0412916022665815,18531989357551.5,18747177264477.633,32544727545938.6,0.011478416397681358,18531989357554.812,0.011611700329325252,0.011478416397858111,0,0,2593,1.8709567536342968,1.8309018938181112,2.094971258204743,2.3369854687518044,3.137247126251656,1.3531082343323875,1.4474015367065747,1.5287201984356271,1.7712275760758853,1.8070147067018125,1.8074260944228993,4.0172347633971,4.007213076857858,4.046947264701445,1.009915666345036,1.0025009118175219,1.5715738347064603,2.55618582765947,4.0186049700238025,4.027576936538649,4.035275414903927,4.023028824181041,4.031124983590341,1.0025519891487702,0.9930267722101018,0.9216607572467161,0.990499029435116,1.004175199981546,1.8115338911362389,1.8119463077017388,4.619065383643407
CON3-1,moderate,SAA,search_unique_customer_set_A_only,search_unique_customer_set_A_only,330,361290987153827.0,19568243658307.4,0.05416200335486315,0.9262565844607634,341722743495519.6,nan,nan,0.0,20.11893080499609,nan,20.11893080499609,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0172347633971,4.007213076857858,4.046947264701445,1.009915666345036,1.0025009118175219,1.5715738347064603,2.55618582765947,4.0186049700238025,4.027576936538649,4.035275414903927,4.023028824181041,4.031124983590341,1.0025519891487702,0.9930267722101018,0.9216607572467161,0.990499029435116,1.004175199981546,nan,nan,nan
CON3-2,moderate,-,train_random_unique,train_random_unique,200,524828314882798.2,1700429755842.771,0.003239973354376853,0.9910843545017702,523127885126955.44,234611314468045.53,0.44847793653956874,20.64898223256198,0.0,1.3499346641909582e-06,20.64898223256198,377708807438175.9,27140292505111.03,156772298585.9538,0.0718550692243347,350568514933064.9,0.9281449307756654,1,410661101946819.44,32952294508643.562,32952294508643.562,1.0,1.0000000000000064,0.0,0.20958348120302947,nan,nan,0.0,nan,nan,0,0,200,2.254216567767389,2.3143362098733835,2.8470773769372326,2.938711892591569,3.282432049798805,1.5212927483552314,1.6873266198617347,1.7142654472854078,1.8117483406364154,1.8117483406364154,1.8117483406364214,4.018667496733632,4.007213076857858,4.046947264701445,1.009915666345036,1.002858450413312,1.5715738347064603,2.557097482781801,4.0186049700238025,4.027576936538649,4.035275414903927,4.023028824181041,4.031124983590341,1.0025519891487702,0.9930267722101018,0.9216607572467161,0.990499029435116,1.004175199981546,1.816927133429525,1.816927133429531,4.632817121275482
CON3-2,moderate,SAA,search_call_weighted,search_call_weighted,3519,4532411646695100.0,253694558237789.53,0.055973415041146155,0.9234431182170122,4278717088457310.5,2217273396038605.5,0.518209862956385,21.915868333057805,4.5409839438405895,4.54098394384052,19.97110473610056,3023535586470544.0,276492345253141.8,1099350400790.9421,0.09144669786271604,2747043241217402.0,0.9085533021372839,1,3528984870079188.0,505449283608644.0,523860093866043.5,1.0364246440828957,1.0374821692444536,18410810257399.5,18945335592706.96,86374627506672.06,0.028214086400965552,18410810257399.04,0.029033232532100512,0.02821408640094121,0,0,3519,2.076874187402715,2.082746637614181,2.388435620911137,2.5462952148956792,3.587276098106635,1.4431724213045998,1.5454564441853278,1.5957115074146953,1.8940105855318325,1.9281963990235145,1.9291798744395119,4.018667496733632,4.007213076857858,4.046947264701445,1.009915666345036,1.002858450413312,1.5715738347064603,2.557097482781801,4.0186049700238025,4.027576936538649,4.035275414903927,4.023028824181041,4.031124983590341,1.0025519891487702,0.9930267722101018,0.9216607572467161,0.990499029435116,1.004175199981546,1.93370805281725,1.9346943394489566,4.930586158251962
